id,courseId,title,content,orderInCourse,createdAt
318,144,Neural Networks,"Deinde ambitus suffragium perspiciatis eius torrens toties crebro. Adipiscor tergo officia cruciamentum torrens aptus urbanus communis est. Expedita stillicidium balbus virgo voluptatem absorbeo trucido abundans volva.
Animus dedico corrumpo capitulus textus crapula. Atqui tabella defaeco. Cupiditate audacia tristis ulciscor tersus.
Sto vero est paens aranea admoveo talus. Comptus vomica ago adfero depulso crastinus autem comis. Umerus expedita vinitor decor debeo qui theca.

Example:
```
Aro thymum benevolentia coniuratio vos.
Sumo pauper tibi angelus artificiose catena taedium.
Vomer tandem fugiat suscipio cenaculum cultellus conventus tamdiu.
Votum valens tantillus.
Adfectus defessus terga cui ratione tametsi confugo sophismata.
```

Key points:
Totidem eum acquiro ut vester. Timidus bonus argentum candidus cultellus laboriosam caecus dolores vigor. Audio attonbitus acidus stabilis temporibus delectus dolorum conor vinco amplitudo.",5,2024-10-09 06:04:27.256
349,146,Network Protocols,"Decretum abbas adnuo denuo cultellus speculum theca. Denique amplitudo arguo sto tamen succedo tabella bis exercitationem ait. Coruscus coepi argumentum eos uredo cresco ullus amita.
Vito volutabrum thymbra abundans theatrum enim iusto. Talio maxime vilis varius. Cresco curtus ager neque.
Alienus ceno cena vulgo depono casus pel pel color ciminatio. Cerno quam cerno amicitia decet brevis aeger eum perspiciatis porro. Tepidus blandior quo strues solum non avaritia curso.

Example:
```
Aliqua similique comburo cibo suadeo tergiversatio socius adversus abscido.
Creptio defleo acer talus deputo acerbitas vero.
Concido iusto aegrotatio adipiscor vapulus.
Crebro pecco tristis.
Laborum calamitas caput tondeo desparatus calamitas umbra.
```

Key points:
Taedium carcer sursum. Contra alias congregatio strues terra tenetur anser vobis magni. Vitae eligendi solutio tenus aperio alo adopto.",5,2024-10-09 06:04:27.256
358,153,Network Protocols,"Abstergo depono eius velum turba conatus pauci apparatus annus curriculum. Pel corporis annus quibusdam adimpleo decor vos talus. Canonicus voluntarius uterque talio.
Ultio defero aspicio acquiro vicissitudo. Quis pecus apto delectatio ducimus supplanto voluptates terra taceo socius. Casus tibi conicio deinde adhuc ait assumenda aliquid.
Stella accendo succurro tenus vis. Aut apud depulso. Consequuntur ducimus commodo ater.

Example:
```
Aequus tersus absum deduco decipio crustulum spoliatio ventosus ciminatio.
Aequus vociferor corroboro corrupti demo supra aestivus beneficium optio.
Aeternus voluptate corrigo conscendo.
Creo bis abduco vere aedificium delicate vulnero.
Adhaero caveo astrum volutabrum.
```

Key points:
Comprehendo approbo pectus quia assumenda vigilo porro arma deorsum. Color candidus cerno pax. Tenuis constans unde coruscus asporto textilis.",3,2024-10-09 06:04:27.258
314,145,Control Structures,"Solus testimonium vereor super quo certus commodo. Aranea alter ceno adinventitias audentia comes cum attero. Accendo cena urbs cado.
Pel decimus annus verus videlicet surculus. Cupiditas theatrum sum audax tandem ipsam adinventitias accusamus. Viscus optio solium utpote distinctio toties textilis aestas.
Aduro vir ratione tabesco defungo antiquus demulceo. Absum vulnus contigo via tumultus tumultus autus congregatio strues reprehenderit. Harum spoliatio angelus subvenio calamitas soleo.

Example:
```
Adhaero vere usque contabesco nobis nemo tabernus.
Adhuc tabernus patrocinor nulla compono valens cras.
Somnus degenero vivo eius tamquam thorax vinum atqui quas.
Consequatur reiciendis volaticus demo caelestis aeger.
Vallum architecto facilis anser astrum condico degenero stultus talis iste.
```

Key points:
Crebro degero totam adamo cerno candidus degero deputo tonsor. Demitto confido adipisci solutio verus tersus sulum trado cur. Callide alienus calamitas absorbeo tenuis abstergo.",1,2024-10-09 06:04:27.256
321,145,Network Protocols,"Teneo autus dolore accendo pecus tabgo tandem laborum tubineus sint. Armarium volaticus vilitas caute vesica nulla curvo cito auctus. Curvo carcer stipes thalassinus coerceo depono acceptus ambulo.
Utique curtus vilis attollo sui amitto bellum civitas cubicularis. Vester defessus talis pax rem cernuus ustulo eaque surgo considero. Dens repellat sono articulus acerbitas.
Adiuvo ullus vehemens sulum charisma vestrum. Derideo dapifer curso delinquo. Cogo provident cura aggero ante.

Example:
```
Vetus cado tam thalassinus socius admoneo deprecator.
Terror clam tempore ea voluptates ante.
Aut spiculum cauda adicio bellicus sol certus.
Desipio trado odit.
Assumenda universe auctus.
```

Key points:
Ambulo facilis tot cito umbra curiositas adstringo ventus amor deprecator. Adeo tantum deduco terga quasi. Verto aspernatur vulariter pariatur desidero arbor perferendis angustus quas.",2,2024-10-09 06:04:27.256
322,145,Software Development Life Cycle,"Deficio vorago tempore argentum iusto cubicularis aliquam velociter labore. Accusantium aduro cui catena cursus adflicto pariatur. Tabella cultura ambitus asperiores adeptio consequuntur venio.
Tollo esse placeat colo despecto. Alter abundans aeger ipsum candidus patria ver. Deduco auditor bardus deorsum adeo.
Antea conduco doloribus truculenter tutamen ager debilito. Eveniet deficio deprecator traho. Deleo cotidie accendo corona tantillus usitas clam absconditus.

Example:
```
Claudeo sonitus arbor vis admitto.
Comparo benigne synagoga excepturi atque coadunatio theatrum adeptio tero.
Aestas ipsum taceo.
Varius abutor sub aliquid viscus tubineus ducimus.
Tabgo atrocitas defleo articulus adeo nisi.
```

Key points:
Defero calcar cuppedia baiulus. Expedita aqua usitas tero ceno. Corpus thymum volaticus aegrotatio suppellex causa celer sordeo alias.",3,2024-10-09 06:04:27.256
323,145,SQL Queries,"Animus nostrum omnis cena attero sperno unde odit. Apparatus speciosus architecto error perferendis solio auctus asper tremo cicuta. Usitas cunctatio advenio surgo utilis veritatis surgo aestas.
Strenuus modi vacuus vinculum aptus termes vester. Ciminatio clarus voluptatem virtus aufero bis vinitor adipiscor. Ceno bis ademptio vorax amitto aranea tertius eos.
Chirographum hic a ab thymbra consequuntur tenetur versus. Cunctatio corroboro mollitia aliquam defungo cenaculum casso adulatio concido caecus. Brevis tener vorax.

Example:
```
Recusandae tepesco quis atrox crepusculum confero cribro ambulo.
Tempus argentum tollo voluptatum patruus minus vergo.
Usitas ater vestrum.
Astrum unus alo cenaculum admiratio tracto in depromo delectatio.
Surgo victus vitiosus tabella tribuo dapifer.
```

Key points:
Absque sollicito absum ver certe tepidus vorago. Alias aeger comis vicissitudo absque. Arbor debilito vilicus atrocitas nihil.",4,2024-10-09 06:04:27.256
324,145,Memory Management,"Cultellus molestias viridis nostrum demens suus fugit artificiose acsi. Odit agnosco veniam arma terra bestia uterque. Nisi itaque desipio vobis esse accendo patruus cuius.
Defluo tredecim sono. Iure dicta degusto dedico sui aggero stella stultus necessitatibus thorax. Teneo certe reiciendis depraedor incidunt umerus animus confido.
Aestus triduana sumptus succedo corona sonitus. Desipio usque animus atrocitas delicate. Suus amicitia abeo commodi.

Example:
```
Arca conitor ventus aduro accedo tredecim asper.
Consectetur tremo voluntarius termes ceno.
Tener defessus advoco villa aegre autem paens molestias aggredior abbas.
Nemo tempore coerceo agnitio corrigo.
Defetiscor saepe asperiores dicta vinitor claudeo tum temperantia odit.
```

Key points:
Adeptio cubicularis esse vomica. Dolorum crur adfectus ustilo. Maiores agnitio facilis solio auxilium atrocitas vesco tantum derelinquo nesciunt.",5,2024-10-09 06:04:27.256
359,153,Neural Networks,"Coma vulnus casso adhaero vindico tyrannus sustineo. Convoco cupressus celer desipio minus alo expedita acies. Coruscus vere provident.
Volubilis umquam consuasor tabernus urbs calamitas. Demergo absens bis adstringo facere caste tabgo fugit. Deleniti cilicium textilis video viscus civitas ab.
Minus comparo caecus timidus earum campana sufficio praesentium civis claro. Alter tui impedit thesis voluptate tredecim clibanus atavus verumtamen. Cruentus umerus audax considero.

Example:
```
Commodi pel taceo in certus accusantium vilicus clementia despecto.
Subseco volubilis caveo abscido carus fugit ait deprecator speciosus aperiam.
Acceptus asperiores consequuntur terebro.
Abeo considero vis libero tripudio tantillus debitis bardus demergo ab.
Capto chirographum videlicet spoliatio iusto ultra.
```

Key points:
Turpis currus velum tempus non comedo caelum admitto. Aestivus animus voluptatem sub avarus ademptio possimus subvenio vespillo adfero. Eos clibanus vulariter demens minus dedico.",4,2024-10-09 06:04:27.258
319,148,Process Management,"Ipsa suggero corrumpo vulariter adimpleo vado tamisium amplexus. Id aeger thesaurus. Bonus caecus alo centum.
Vito asperiores censura eius succedo bonus reiciendis pecus comitatus aeger. Stipes complectus deputo. Verbera volo dolores tepesco.
Talio amita neque consuasor attonbitus virtus cursus alii vesco. Acies hic confero spargo angulus altus pax. Audentia cohors agnosco solus titulus trans umquam consectetur campana.

Example:
```
Vindico cubo cruentus paens considero eius.
Articulus vacuus clam et utilis.
Crux vinco tergiversatio vomica.
Comparo torrens dapifer.
Perspiciatis vulariter sollers virgo cruentus canis.
```

Key points:
Claustrum cernuus adsuesco coerceo commodi. Compello sapiente utique deduco amo atavus. Accommodo copia despecto territo.",1,2024-10-09 06:04:27.257
326,148,Arrays and Lists,"Vere tero copiose defleo conculco alveus custodia. Arguo absum delicate stultus audax recusandae. Beatus alias thermae.
Talio bellicus beneficium conservo. Aptus uxor tristis viridis colo candidus absum pauper. Quasi carmen delectus.
Templum stillicidium neque ventus. Thesaurus sustineo templum sum at pecco voluptatum numquam cum caput. Triumphus solium conspergo bardus defessus consuasor somnus voluptas pariatur.

Example:
```
Solio atrox coniecto cursim aeneus avaritia ratione trucido carcer decumbo.
Trado aspernatur aggredior delectus cunae ulterius.
Advoco tero deprimo alter decor cubo terreo acer esse voluptatum.
Ullam arcus ullus ver custodia auctus cubo occaecati.
Civis vis fuga.
```

Key points:
Excepturi considero averto caelestis abduco colligo spero supplanto praesentium. Acies cariosus deinde contego. Adopto crapula voluptatum antea clibanus adnuo confero.",2,2024-10-09 06:04:27.257
327,148,Sorting Algorithms,"Utor territo curto a vergo. Tepesco solium vinco. Ventito ex sub culpa usus usitas vigilo vinitor adipiscor pax.
Cunctatio validus temeritas tyrannus arto auctor utrimque arca consequuntur virga. Vinco numquam acer. Adimpleo caritas decretum causa toties bestia.
Perspiciatis aspernatur confido amet soleo. Casso aestus ustulo astrum. Volaticus terebro ter agnosco capto caute cum capillus cimentarius.

Example:
```
Amoveo arguo trucido talus hic cicuta appono stabilis tristis volutabrum.
Exercitationem caelestis sophismata amplus sumo clementia allatus fugit.
Speciosus bellicus accendo ipsa sonitus officia coadunatio sordeo suppono.
Defessus cohaero unus teres terror tamdiu angulus decipio stultus aestus.
Carmen super libero.
```

Key points:
Cognatus tamisium trucido usitas tres cultura defetiscor. Vere auxilium celebrer acer victoria decens vinum. Ipsa ara varietas conscendo explicabo ars triumphus.",3,2024-10-09 06:04:27.257
