id,questionId,option,isCorrect,createdAt
4629,1158,Claro timor decor.,False,2024-10-09 06:04:29.717
3218,806,Tabesco conqueror corrumpo ventus.,True,2024-10-09 06:04:28.486
3219,806,Apparatus conforto tui rerum acsi.,False,2024-10-09 06:04:28.486
3221,806,Tres delicate antiquus altus neque validus ter crudelis suspendo comes.,False,2024-10-09 06:04:28.486
3220,806,Clam venustas cura animi.,False,2024-10-09 06:04:28.486
3222,807,Tergo vobis unde coruscus timor tepesco caries certe aranea.,False,2024-10-09 06:04:28.493
3223,807,Claro succedo velum crepusculum curia.,True,2024-10-09 06:04:28.493
3225,807,Cur vetus conculco pauper aperiam brevis volutabrum delibero.,False,2024-10-09 06:04:28.493
3224,807,Eum benevolentia amiculum.,False,2024-10-09 06:04:28.493
3226,808,Varietas sollers denuncio xiphias aureus arcus ancilla.,True,2024-10-09 06:04:28.497
3227,808,Tardus dolor astrum.,False,2024-10-09 06:04:28.497
3228,808,Textilis utroque usque nobis velut considero harum.,False,2024-10-09 06:04:28.497
3229,808,Tantum alius nam ab utrimque summa valens angulus cedo.,False,2024-10-09 06:04:28.497
3232,809,Carcer vester tres brevis causa.,False,2024-10-09 06:04:28.501
3233,809,Aer consequatur cunae utilis.,False,2024-10-09 06:04:28.501
3231,809,Aetas perferendis baiulus tripudio anser celer talis aiunt tepesco.,False,2024-10-09 06:04:28.501
3230,809,Conscendo esse vox eaque demens.,True,2024-10-09 06:04:28.501
3234,810,Caput auditor spero thymum.,True,2024-10-09 06:04:28.504
3235,810,Bestia beneficium ullam tergeo vomer architecto adfero urbs.,False,2024-10-09 06:04:28.505
3236,810,Perspiciatis solitudo corporis votum supplanto surgo deduco bardus.,False,2024-10-09 06:04:28.505
3237,810,Ullam aro tantum conor vacuus textor.,False,2024-10-09 06:04:28.505
3239,811,Tamquam vociferor harum adsuesco triduana decor aetas.,False,2024-10-09 06:04:28.509
3240,811,Usus caries suffoco cattus vulnus cena facere theca capto.,False,2024-10-09 06:04:28.509
3238,811,Averto cotidie tam iusto.,True,2024-10-09 06:04:28.509
3241,811,Assentator vomica socius acies ab acidus vestigium vitium constans.,False,2024-10-09 06:04:28.509
3242,812,Vita stultus crux adfectus.,True,2024-10-09 06:04:28.512
3243,812,Alveus quisquam vorax victoria ad.,False,2024-10-09 06:04:28.512
3244,812,Corroboro astrum suffragium speculum templum tres.,False,2024-10-09 06:04:28.512
3245,812,Vicissitudo cupiditate uterque curiositas cruciamentum.,False,2024-10-09 06:04:28.512
3246,813,Adfero auxilium aperio.,True,2024-10-09 06:04:28.515
3247,813,Labore clibanus cuius aperio careo celebrer terror doloremque teres calco.,False,2024-10-09 06:04:28.515
3248,813,Cunctatio magni crux tepesco capto.,False,2024-10-09 06:04:28.515
3249,813,Ago spectaculum texo terror bestia credo.,False,2024-10-09 06:04:28.515
3251,814,Pecus reiciendis argumentum dolores cui.,False,2024-10-09 06:04:28.517
3252,814,Toties tam caute defleo et consuasor tantillus correptius audacia.,True,2024-10-09 06:04:28.517
3250,814,Repellat aer delinquo comptus adnuo aliquid.,False,2024-10-09 06:04:28.517
3253,814,Trucido aureus veritatis tantum valeo.,False,2024-10-09 06:04:28.517
3254,815,Tristis conspergo conventus dens.,False,2024-10-09 06:04:28.520
3255,815,Carus volup amplexus validus vacuus texo adicio.,False,2024-10-09 06:04:28.520
3256,815,Decor vado complectus amplexus sustineo tot calcar.,False,2024-10-09 06:04:28.520
3257,815,Deleniti tabernus collum repellendus surculus tertius enim cibus.,True,2024-10-09 06:04:28.520
3258,816,Coma cruciamentum animus ago architecto debitis.,False,2024-10-09 06:04:28.525
3259,816,Thema advenio volva stillicidium agnitio cohibeo harum appositus vicinus alveus.,False,2024-10-09 06:04:28.525
3261,816,Thesis cribro alias.,False,2024-10-09 06:04:28.525
3260,816,Vulgus accommodo defendo ambulo beneficium xiphias damnatio.,True,2024-10-09 06:04:28.525
